section,metric,stat,value,unit
mem,lmp_chan,,160,bytes
mem,aos_rpc,,208,bytes
mem,lmp_recv_msg,,80,bytes
rtt,send_number,min,3271,ticks
rtt,send_number,avg,3375,ticks
rtt,send_number,p50,3286,ticks
rtt,send_number,p99,4031,ticks
rtt,send_number,max,17940,ticks
rtt,send_number,sample,3271,ticks
rtt,send_number,sample,3272,ticks
rtt,send_number,sample,3273,ticks
rtt,send_number,sample,3274,ticks
rtt,send_number,sample,3276,ticks
rtt,send_number,sample,3276,ticks
rtt,send_number,sample,3276,ticks
rtt,send_number,sample,3277,ticks
rtt,send_number,sample,3277,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3278,ticks
rtt,send_number,sample,3279,ticks
rtt,send_number,sample,3279,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3280,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3281,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3282,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3283,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3284,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3285,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3286,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3287,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3288,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3289,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3290,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3291,ticks
rtt,send_number,sample,3292,ticks
rtt,send_number,sample,3292,ticks
rtt,send_number,sample,3292,ticks
rtt,send_number,sample,3293,ticks
rtt,send_number,sample,3293,ticks
rtt,send_number,sample,3294,ticks
rtt,send_number,sample,3294,ticks
rtt,send_number,sample,3294,ticks
rtt,send_number,sample,3295,ticks
rtt,send_number,sample,3295,ticks
rtt,send_number,sample,3295,ticks
rtt,send_number,sample,3295,ticks
rtt,send_number,sample,3296,ticks
rtt,send_number,sample,3296,ticks
rtt,send_number,sample,3297,ticks
rtt,send_number,sample,3298,ticks
rtt,send_number,sample,3301,ticks
rtt,send_number,sample,3302,ticks
rtt,send_number,sample,3302,ticks
rtt,send_number,sample,3308,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3322,ticks
rtt,send_number,sample,3343,ticks
rtt,send_number,sample,3392,ticks
rtt,send_number,sample,3395,ticks
rtt,send_number,sample,3416,ticks
rtt,send_number,sample,3418,ticks
rtt,send_number,sample,3424,ticks
rtt,send_number,sample,3428,ticks
rtt,send_number,sample,3446,ticks
rtt,send_number,sample,3453,ticks
rtt,send_number,sample,3458,ticks
rtt,send_number,sample,3458,ticks
rtt,send_number,sample,3470,ticks
rtt,send_number,sample,3479,ticks
rtt,send_number,sample,3521,ticks
rtt,send_number,sample,3604,ticks
rtt,send_number,sample,4031,ticks
rtt,send_number,sample,17940,ticks
stress,send_string,sample,7569,ticks
stress,send_string,sample,22001,ticks
stress,send_string,sample,36036,ticks
stress,send_string,sample,50095,ticks
stress,send_string,sample,63758,ticks
stress,send_string,sample,78971,ticks
stress,send_string,sample,94520,ticks
stress,send_string,sample,109018,ticks
stress,send_string,sample,122865,ticks
stress,send_string,sample,137912,ticks
stress,send_string,sample,152254,ticks
stress,send_string,sample,166297,ticks
stress,send_string,sample,180061,ticks
stress,send_string,sample,193646,ticks
stress,send_string,sample,208709,ticks
stress,send_string,sample,223722,ticks
stress,send_string,sample,223539,ticks
stress,send_string,sample,223810,ticks
stress,send_string,sample,223841,ticks
stress,send_string,sample,223698,ticks
stress,send_string,sample,223914,ticks
stress,send_string,sample,221978,ticks
stress,send_string,sample,221365,ticks
stress,send_string,sample,223024,ticks
stress,send_string,sample,225194,ticks
stress,send_string,sample,223764,ticks
stress,send_string,sample,225121,ticks
stress,send_string,sample,226802,ticks
stress,send_string,sample,229168,ticks
stress,send_string,sample,229543,ticks
stress,send_string,sample,227646,ticks
stress,send_string,sample,225682,ticks
stress,send_string,sample,227112,ticks
stress,send_string,sample,225392,ticks
stress,send_string,sample,225391,ticks
stress,send_string,sample,226521,ticks
stress,send_string,sample,228272,ticks
stress,send_string,sample,230493,ticks
stress,send_string,sample,229115,ticks
stress,send_string,sample,226912,ticks
stress,send_string,sample,226244,ticks
stress,send_string,sample,227143,ticks
stress,send_string,sample,225188,ticks
stress,send_string,sample,222870,ticks
stress,send_string,sample,220901,ticks
stress,send_string,sample,222703,ticks
stress,send_string,sample,224889,ticks
stress,send_string,sample,226787,ticks
stress,send_string,sample,225722,ticks
stress,send_string,sample,225698,ticks
stress,send_string,sample,225699,ticks
stress,send_string,sample,223929,ticks
stress,send_string,sample,221572,ticks
stress,send_string,sample,220889,ticks
stress,send_string,sample,221862,ticks
stress,send_string,sample,223338,ticks
stress,send_string,sample,222950,ticks
stress,send_string,sample,223124,ticks
stress,send_string,sample,223414,ticks
stress,send_string,sample,223312,ticks
stress,send_string,sample,224662,ticks
stress,send_string,sample,224239,ticks
stress,send_string,sample,223784,ticks
stress,send_string,sample,221891,ticks
stress,send_string,sample,221953,ticks
stress,send_string,sample,221733,ticks
stress,send_string,sample,221583,ticks
stress,send_string,sample,221752,ticks
stress,send_string,sample,223320,ticks
stress,send_string,sample,223036,ticks
stress,send_string,sample,224727,ticks
stress,send_string,sample,223798,ticks
stress,send_string,sample,222195,ticks
stress,send_string,sample,221964,ticks
stress,send_string,sample,221948,ticks
stress,send_string,sample,222023,ticks
stress,send_string,sample,220293,ticks
stress,send_string,sample,219617,ticks
stress,send_string,sample,220605,ticks
stress,send_string,sample,222302,ticks
stress,send_string,sample,224685,ticks
stress,send_string,sample,226618,ticks
stress,send_string,sample,227111,ticks
stress,send_string,sample,228401,ticks
stress,send_string,sample,227357,ticks
stress,send_string,sample,225498,ticks
stress,send_string,sample,223197,ticks
stress,send_string,sample,222822,ticks
stress,send_string,sample,223061,ticks
stress,send_string,sample,224636,ticks
stress,send_string,sample,226738,ticks
stress,send_string,sample,227026,ticks
stress,send_string,sample,228145,ticks
stress,send_string,sample,226241,ticks
stress,send_string,sample,224378,ticks
stress,send_string,sample,222040,ticks
stress,send_string,sample,220045,ticks
stress,send_string,sample,219809,ticks
stress,send_string,sample,221710,ticks
stress,send_string,sample,220098,ticks
stress,send_string,sample,221370,ticks
stress,send_string,sample,223673,ticks
stress,send_string,sample,224316,ticks
stress,send_string,sample,224184,ticks
stress,send_string,sample,224059,ticks
stress,send_string,sample,222363,ticks
stress,send_string,sample,221919,ticks
stress,send_string,sample,222592,ticks
stress,send_string,sample,222931,ticks
stress,send_string,sample,225037,ticks
stress,send_string,sample,225412,ticks
stress,send_string,sample,225518,ticks
stress,send_string,sample,225339,ticks
stress,send_string,sample,223212,ticks
stress,send_string,sample,223037,ticks
stress,send_string,sample,224882,ticks
stress,send_string,sample,223112,ticks
stress,send_string,sample,222594,ticks
stress,send_string,sample,224594,ticks
stress,send_string,sample,224940,ticks
stress,send_string,sample,224923,ticks
stress,send_string,sample,224380,ticks
stress,send_string,sample,222413,ticks
stress,send_string,sample,223736,ticks
stress,send_string,sample,223825,ticks
stress,send_string,sample,223820,ticks
stress,send_string,sample,225486,ticks
stress,send_string,sample,225984,ticks
stress,send_string,sample,226084,ticks
stress,send_string,sample,225683,ticks
stress,send_string,sample,223550,ticks
stress,send_string,sample,221987,ticks
stress,send_string,sample,223341,ticks
stress,send_string,sample,223111,ticks
stress,send_string,sample,223329,ticks
stress,send_string,sample,224201,ticks
stress,send_string,sample,224370,ticks
stress,send_string,sample,224426,ticks
stress,send_string,sample,224024,ticks
stress,send_string,sample,222103,ticks
stress,send_string,sample,220543,ticks
stress,send_string,sample,220119,ticks
stress,send_string,sample,220070,ticks
stress,send_string,sample,221899,ticks
stress,send_string,sample,222768,ticks
stress,send_string,sample,224306,ticks
stress,send_string,sample,226046,ticks
stress,send_string,sample,227879,ticks
stress,send_string,sample,228195,ticks
stress,send_string,sample,228243,ticks
stress,send_string,sample,228050,ticks
stress,send_string,sample,229935,ticks
stress,send_string,sample,232263,ticks
stress,send_string,sample,234572,ticks
stress,send_string,sample,236452,ticks
stress,send_string,sample,238221,ticks
stress,send_string,sample,240260,ticks
stress,send_string,sample,240353,ticks
stress,send_string,sample,240397,ticks
stress,send_string,sample,240134,ticks
stress,send_string,sample,242269,ticks
stress,send_string,sample,242239,ticks
stress,send_string,sample,242120,ticks
stress,send_string,sample,241971,ticks
stress,send_string,sample,242158,ticks
stress,send_string,sample,242150,ticks
stress,send_string,sample,242056,ticks
stress,send_string,sample,241668,ticks
stress,send_string,sample,241620,ticks
stress,send_string,sample,241683,ticks
stress,send_string,sample,241598,ticks
stress,send_string,sample,241418,ticks
stress,send_string,sample,241714,ticks
stress,send_string,sample,241837,ticks
stress,send_string,sample,241936,ticks
stress,send_string,sample,241725,ticks
stress,send_string,sample,241851,ticks
stress,send_string,sample,242009,ticks
stress,send_string,sample,241899,ticks
stress,send_string,sample,241599,ticks
stress,send_string,sample,253614,ticks
stress,send_string,sample,252561,ticks
stress,send_string,sample,250868,ticks
stress,send_string,sample,249258,ticks
stress,send_string,sample,247270,ticks
stress,send_string,sample,245397,ticks
stress,send_string,sample,244994,ticks
stress,send_string,sample,244526,ticks
stress,send_string,sample,243889,ticks
stress,send_string,sample,242561,ticks
stress,send_string,sample,240589,ticks
stress,send_string,sample,238500,ticks
stress,send_string,sample,236876,ticks
stress,send_string,sample,234872,ticks
stress,send_string,sample,234322,ticks
stress,send_string,sample,233816,ticks
stress,send_string,sample,222397,ticks
stress,send_string,sample,224091,ticks
stress,send_string,sample,224428,ticks
stress,send_string,sample,224271,ticks
stress,send_string,sample,224529,ticks
stress,send_string,sample,224468,ticks
stress,send_string,sample,223825,ticks
stress,send_string,sample,224496,ticks
stress,send_string,sample,224418,ticks
stress,send_string,sample,224357,ticks
stress,send_string,sample,224289,ticks
stress,send_string,sample,223867,ticks
stress,send_string,sample,223980,ticks
stress,send_string,sample,224220,ticks
stress,send_string,sample,223760,ticks
stress,send_string,sample,223574,ticks
stress,send_string,sample,223286,ticks
stress,send_string,sample,223446,ticks
stress,send_string,sample,225400,ticks
stress,send_string,sample,225918,ticks
stress,send_string,sample,225664,ticks
stress,send_string,sample,225943,ticks
stress,send_string,sample,224049,ticks
stress,send_string,sample,223475,ticks
stress,send_string,sample,224126,ticks
stress,send_string,sample,226243,ticks
stress,send_string,sample,226393,ticks
stress,send_string,sample,226218,ticks
stress,send_string,sample,225947,ticks
stress,send_string,sample,225897,ticks
stress,send_string,sample,224274,ticks
stress,send_string,sample,223613,ticks
stress,send_string,sample,223244,ticks
stress,send_string,sample,223163,ticks
stress,send_string,sample,222151,ticks
stress,send_string,sample,222055,ticks
stress,send_string,sample,222050,ticks
stress,send_string,sample,221956,ticks
stress,send_string,sample,221969,ticks
stress,send_string,sample,256658,ticks
stress,send_string,sample,277106,ticks
stress,send_string,sample,295669,ticks
stress,send_string,sample,315665,ticks
stress,send_string,sample,334603,ticks
stress,send_string,sample,354369,ticks
stress,send_string,sample,374058,ticks
stress,send_string,sample,393248,ticks
stress,send_string,sample,410702,ticks
stress,send_string,sample,427573,ticks
stress,send_string,sample,444673,ticks
stress,send_string,sample,463300,ticks
stress,send_string,sample,482374,ticks
stress,send_string,sample,500901,ticks
stress,send_string,sample,520133,ticks
stress,send_string,sample,527917,ticks
stress,send_string,sample,509173,ticks
stress,send_string,sample,506951,ticks
stress,send_string,sample,505781,ticks
stress,send_string,sample,505095,ticks
stress,send_string,sample,504417,ticks
stress,send_string,sample,503474,ticks
stress,send_string,sample,502742,ticks
stress,send_string,sample,502123,ticks
stress,send_string,sample,501687,ticks
stress,send_string,sample,501448,ticks
stress,send_string,sample,500985,ticks
stress,send_string,sample,500656,ticks
stress,send_string,sample,500416,ticks
stress,send_string,sample,500296,ticks
stress,send_string,sample,500410,ticks
stress,send_string,sample,493899,ticks
stress,send_string,sample,482365,ticks
stress,send_string,sample,469979,ticks
stress,send_string,sample,457934,ticks
stress,send_string,sample,445965,ticks
stress,send_string,sample,434090,ticks
stress,send_string,sample,421576,ticks
stress,send_string,sample,411040,ticks
stress,send_string,sample,398670,ticks
stress,send_string,sample,386728,ticks
stress,send_string,sample,374949,ticks
stress,send_string,sample,363197,ticks
stress,send_string,sample,350891,ticks
stress,send_string,sample,339726,ticks
stress,send_string,sample,327247,ticks
stress,send_string,sample,316483,ticks
stress,send_string,sample,316496,ticks
stress,send_string,sample,316362,ticks
stress,send_string,sample,316278,ticks
stress,send_string,sample,316330,ticks
