section,metric,stat,value,unit
mem,lmp_chan,,160,bytes
mem,aos_rpc,,176,bytes
mem,lmp_recv_msg,,80,bytes
rtt,send_number,min,3297,ticks
rtt,send_number,avg,3973,ticks
rtt,send_number,p50,3323,ticks
rtt,send_number,p99,5746,ticks
rtt,send_number,max,20955,ticks
rtt,send_number,sample,3297,ticks
rtt,send_number,sample,3298,ticks
rtt,send_number,sample,3299,ticks
rtt,send_number,sample,3302,ticks
rtt,send_number,sample,3302,ticks
rtt,send_number,sample,3302,ticks
rtt,send_number,sample,3303,ticks
rtt,send_number,sample,3303,ticks
rtt,send_number,sample,3303,ticks
rtt,send_number,sample,3303,ticks
rtt,send_number,sample,3303,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3304,ticks
rtt,send_number,sample,3305,ticks
rtt,send_number,sample,3305,ticks
rtt,send_number,sample,3305,ticks
rtt,send_number,sample,3305,ticks
rtt,send_number,sample,3305,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3306,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3307,ticks
rtt,send_number,sample,3308,ticks
rtt,send_number,sample,3308,ticks
rtt,send_number,sample,3308,ticks
rtt,send_number,sample,3308,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3309,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3310,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3311,ticks
rtt,send_number,sample,3312,ticks
rtt,send_number,sample,3312,ticks
rtt,send_number,sample,3312,ticks
rtt,send_number,sample,3312,ticks
rtt,send_number,sample,3313,ticks
rtt,send_number,sample,3313,ticks
rtt,send_number,sample,3313,ticks
rtt,send_number,sample,3313,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3314,ticks
rtt,send_number,sample,3315,ticks
rtt,send_number,sample,3315,ticks
rtt,send_number,sample,3315,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3316,ticks
rtt,send_number,sample,3317,ticks
rtt,send_number,sample,3317,ticks
rtt,send_number,sample,3317,ticks
rtt,send_number,sample,3317,ticks
rtt,send_number,sample,3318,ticks
rtt,send_number,sample,3318,ticks
rtt,send_number,sample,3318,ticks
rtt,send_number,sample,3319,ticks
rtt,send_number,sample,3319,ticks
rtt,send_number,sample,3319,ticks
rtt,send_number,sample,3320,ticks
rtt,send_number,sample,3320,ticks
rtt,send_number,sample,3321,ticks
rtt,send_number,sample,3322,ticks
rtt,send_number,sample,3323,ticks
rtt,send_number,sample,3325,ticks
rtt,send_number,sample,3328,ticks
rtt,send_number,sample,3330,ticks
rtt,send_number,sample,3334,ticks
rtt,send_number,sample,3335,ticks
rtt,send_number,sample,3335,ticks
rtt,send_number,sample,3338,ticks
rtt,send_number,sample,3343,ticks
rtt,send_number,sample,3346,ticks
rtt,send_number,sample,3354,ticks
rtt,send_number,sample,3363,ticks
rtt,send_number,sample,3369,ticks
rtt,send_number,sample,3374,ticks
rtt,send_number,sample,3406,ticks
rtt,send_number,sample,3416,ticks
rtt,send_number,sample,3426,ticks
rtt,send_number,sample,3591,ticks
rtt,send_number,sample,3615,ticks
rtt,send_number,sample,3621,ticks
rtt,send_number,sample,3657,ticks
rtt,send_number,sample,3672,ticks
rtt,send_number,sample,3801,ticks
rtt,send_number,sample,3907,ticks
rtt,send_number,sample,4546,ticks
rtt,send_number,sample,4580,ticks
rtt,send_number,sample,4732,ticks
rtt,send_number,sample,4737,ticks
rtt,send_number,sample,4738,ticks
rtt,send_number,sample,4738,ticks
rtt,send_number,sample,4738,ticks
rtt,send_number,sample,4739,ticks
rtt,send_number,sample,4739,ticks
rtt,send_number,sample,4740,ticks
rtt,send_number,sample,4740,ticks
rtt,send_number,sample,4740,ticks
rtt,send_number,sample,4741,ticks
rtt,send_number,sample,4742,ticks
rtt,send_number,sample,4743,ticks
rtt,send_number,sample,4743,ticks
rtt,send_number,sample,4743,ticks
rtt,send_number,sample,4743,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4744,ticks
rtt,send_number,sample,4745,ticks
rtt,send_number,sample,4747,ticks
rtt,send_number,sample,4747,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4748,ticks
rtt,send_number,sample,4749,ticks
rtt,send_number,sample,4749,ticks
rtt,send_number,sample,4749,ticks
rtt,send_number,sample,4749,ticks
rtt,send_number,sample,4749,ticks
rtt,send_number,sample,4750,ticks
rtt,send_number,sample,4750,ticks
rtt,send_number,sample,4751,ticks
rtt,send_number,sample,4751,ticks
rtt,send_number,sample,4751,ticks
rtt,send_number,sample,4751,ticks
rtt,send_number,sample,4752,ticks
rtt,send_number,sample,4753,ticks
rtt,send_number,sample,4753,ticks
rtt,send_number,sample,4753,ticks
rtt,send_number,sample,4753,ticks
rtt,send_number,sample,4754,ticks
rtt,send_number,sample,4755,ticks
rtt,send_number,sample,4755,ticks
rtt,send_number,sample,4756,ticks
rtt,send_number,sample,4758,ticks
rtt,send_number,sample,4759,ticks
rtt,send_number,sample,4760,ticks
rtt,send_number,sample,4760,ticks
rtt,send_number,sample,4761,ticks
rtt,send_number,sample,4763,ticks
rtt,send_number,sample,4764,ticks
rtt,send_number,sample,4770,ticks
rtt,send_number,sample,4776,ticks
rtt,send_number,sample,4777,ticks
rtt,send_number,sample,4863,ticks
rtt,send_number,sample,4963,ticks
rtt,send_number,sample,4971,ticks
rtt,send_number,sample,4978,ticks
rtt,send_number,sample,5048,ticks
rtt,send_number,sample,5049,ticks
rtt,send_number,sample,5053,ticks
rtt,send_number,sample,5088,ticks
rtt,send_number,sample,5743,ticks
rtt,send_number,sample,5746,ticks
rtt,send_number,sample,20955,ticks
stress,send_string,sample,58413,ticks
stress,send_string,sample,65932,ticks
stress,send_string,sample,71883,ticks
stress,send_string,sample,77762,ticks
stress,send_string,sample,83641,ticks
stress,send_string,sample,89556,ticks
stress,send_string,sample,95701,ticks
stress,send_string,sample,101523,ticks
stress,send_string,sample,107471,ticks
stress,send_string,sample,113455,ticks
stress,send_string,sample,119358,ticks
stress,send_string,sample,125410,ticks
stress,send_string,sample,131605,ticks
stress,send_string,sample,137581,ticks
stress,send_string,sample,143324,ticks
stress,send_string,sample,149367,ticks
stress,send_string,sample,146824,ticks
stress,send_string,sample,146419,ticks
stress,send_string,sample,146355,ticks
stress,send_string,sample,146668,ticks
stress,send_string,sample,147232,ticks
stress,send_string,sample,147422,ticks
stress,send_string,sample,147487,ticks
stress,send_string,sample,147465,ticks
stress,send_string,sample,147381,ticks
stress,send_string,sample,147574,ticks
stress,send_string,sample,147588,ticks
stress,send_string,sample,147512,ticks
stress,send_string,sample,147209,ticks
stress,send_string,sample,147180,ticks
stress,send_string,sample,147208,ticks
stress,send_string,sample,147143,ticks
stress,send_string,sample,147234,ticks
stress,send_string,sample,147159,ticks
stress,send_string,sample,146912,ticks
stress,send_string,sample,146636,ticks
stress,send_string,sample,146087,ticks
stress,send_string,sample,145772,ticks
stress,send_string,sample,145779,ticks
stress,send_string,sample,146010,ticks
stress,send_string,sample,145992,ticks
stress,send_string,sample,145733,ticks
stress,send_string,sample,145740,ticks
stress,send_string,sample,145726,ticks
stress,send_string,sample,145684,ticks
stress,send_string,sample,145848,ticks
stress,send_string,sample,146412,ticks
stress,send_string,sample,146447,ticks
stress,send_string,sample,146485,ticks
stress,send_string,sample,146487,ticks
stress,send_string,sample,146520,ticks
stress,send_string,sample,146511,ticks
stress,send_string,sample,146775,ticks
stress,send_string,sample,146745,ticks
stress,send_string,sample,146560,ticks
